"File","SampleRate","Channels","Layout"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\0.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\10.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\100.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\1000.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\1000000.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\11.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\12.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\13.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\14.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\15.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\16.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\17.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\18.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\19.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\20.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\3.wav","44100","2","unknown"
